Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
1870,entry_information,Y,T6,1,entry_information,20,Structural genomics project affiliation,_SG_project.Full_name_of_center,,,,,,Y,H,H,H,H,H,Y,N,,,,,Full name of center,VARCHAR(127),,,SGProject,FullNameOfCenter,N,N,,,,,,,,,Y,30,,,,,,0,Berkeley Structural Genomics Center,Full name of the SG center,The value identifies the full name of center.,10410,55,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,SG_project,Full_name_of_center,?,?,?,?,Y,N,line,,?,?,?,The value identifies the full name of center.,,N,?,?,Structural genomics project affiliation,Berkeley Structural Genomics Center,Full name of the SG center,The value identifies the full name of center.,Structural genomics project affiliation,Berkeley Structural Genomics Center,Full name of the SG center,The value identifies the full name of center.,?,?
1880,entry_information,Y,T6,1,entry_information,20,Structural genomics project affiliation,_SG_project.Initial_of_center,,,,,,Y,H,H,H,H,H,Y,N,,,,,Initial of center,VARCHAR(31),NOT NULL,,SGProject,InitialOfCenter,N,N,,,,,,,,,Y,40,,,,,,0,BSGC,Initials for the SG center,The value identifies the center using initials or other abbreviation.,10412,1,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,SG_project,Initial_of_center,?,?,?,?,Y,N,line,,?,?,?,The value identifies the center using initials or other abbreviation.,,N,?,?,Structural genomics project affiliation,BSGC,Initials for the SG center,The value identifies the center using initials or other abbreviation.,Structural genomics project affiliation,BSGC,Initials for the SG center,The value identifies the center using initials or other abbreviation.,?,?
1890,entry_information,Y,T6,1,entry_information,20,Structural genomics project affiliation,_SG_project.Sf_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SGProject,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,?,I,O,I,O,I,O,O,O,O,O,O,O,?,1,SG_project,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Structural genomics project affiliation,?,n/a,Pointer to '_Entry.Sf_ID',Structural genomics project affiliation,?,n/a,Pointer to '_Entry.Sf_ID',?,?
1900,entry_information,Y,T6,1,entry_information,20,Structural genomics project affiliation,_SG_project.Entry_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SGProject,EntryID,N,N,,Y,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,SG_project,Entry_ID,?,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Structural genomics project affiliation,?,n/a,Pointer to '_Entry.ID',Structural genomics project affiliation,?,n/a,Pointer to '_Entry.ID',?,?
1910,entry_information,Y,T6,1,entry_information,20,Entry source organization,_Entry_src.Project_name,,,,,,Y,H,N,H,H,H,Y,N,,,,,Project name,VARCHAR(127),NOT NULL,,EntrySrc,ProjectName,N,N,,Y,,,,,,,Y,10,2,,,,,0,NIH Protein Structure Initiative,n/a,Name of the government project or other organization that is funding or governing the organization that is depositing the entry.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Entry_src,Project_name,?,?,?,?,Y,N,line,,?,?,?,Name of the project under which the data reported in an entry was sponsored or funded. This might be the title for a grant funding the research or the name of the overall project defined by a granting agency.,,N,?,?,Entry source organization,NIH Protein Structure Initiative,n/a,Name of the government project or other organization that is funding or governing the organization that is depositing the entry.,Entry source organization,NIH Protein Structure Initiative,n/a,Name of the government project or other organization that is funding or governing the organization that is depositing the entry.,?,?
1920,entry_information,Y,T6,1,entry_information,20,Entry source organization,_Entry_src.Organization_full_name,,,,,,Y,N,N,H,H,H,Y,N,,,,,Organization full name,VARCHAR(127),,,EntrySrc,OrganizationFullName,N,N,,,,,,,,,Y,20,2,,,,,0,Wuthrich group; ETH,Organization or group that is the entry source,Enter the laboratory title$ name$ or acronym for the organization where the research was conducted.  More than one organization can be provided.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Entry_src,Organization_full_name,?,?,?,?,Y,N,line,,?,?,?,Name of the organization (company$ research laboratory$ etc.) that carried out the research reported in the entry.,,N,?,?,Entry source organization,Wuthrich group; ETH,Organization or group that is the entry source,Enter the laboratory title$ name$ or acronym for the organization where the research was conducted.  More than one organization can be provided.,Entry source organization,Wuthrich group; ETH,Organization or group that is the entry source,Enter the laboratory title$ name$ or acronym for the organization where the research was conducted.  More than one organization can be provided.,?,?
1930,entry_information,Y,T6,1,entry_information,20,Entry source organization,_Entry_src.Organization_initials,,S,Y,,,Y,H,H,H,H,H,Y,N,,,,,Organization initials,VARCHAR(127),NOT NULL,,EntrySrc,OrganizationInitials,N,N,,Y,,,,,,,Y,30,2,,,,,0,NESGC,Entry source organization,Laboratory title or name or acronym for the organization where the research was conducted.  More than one organization can be provided.,?,?,Y,Y,N,N,N,Y,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Entry_src,Organization_initials,Y,?,?,?,Y,N,line,,?,?,?,Laboratory title or name or acronym for the organization where the research was conducted.  More than one organization can be provided.,,N,?,?,Entry source organization,NESGC,Entry source organization,Laboratory title or name or acronym for the organization where the research was conducted.  More than one organization can be provided.,Entry source organization,NESGC,Entry source organization,Laboratory title or name or acronym for the organization where the research was conducted.  More than one organization can be provided.,?,?
1940,entry_information,Y,T6,1,entry_information,20,Entry source organization,_Entry_src.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,EntrySrc,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,40,2,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Entry_src,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Entry source organization,?,n/a,Pointer to '_Entry.Sf_ID',Entry source organization,?,n/a,Pointer to '_Entry.Sf_ID',?,?
1950,entry_information,Y,T6,1,entry_information,20,Entry source organization,_Entry_src.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,EntrySrc,EntryID,N,N,,Y,,Entry,ID,,,,Y,50,2,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Entry_src,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Entry source organization,?,n/a,Pointer to '_Entry.ID',Entry source organization,?,n/a,Pointer to '_Entry.ID',?,?
1960,entry_information,Y,T6,1,entry_information,20,Structure keywords,_Struct_keywords.Keywords,,,,,,Y,H,H,H,H,H,N,,,,,,Keywords,VARCHAR(127),NOT NULL,,StructKeywords,Keywords,N,N,,Y,,,,,,,Y,10,5,,,,,0,PROTEIN/RNA,Keyword(s) describing the structure,Keywords describing the structure,10616,1,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Struct_keywords,Keywords,?,?,?,?,Y,N,line,,?,?,?,Keywords describing the structure,,N,?,?,Structure keywords,PROTEIN/RNA,Keyword(s) describing the structure,Keywords describing the structure,Structure keywords,PROTEIN/RNA,Keyword(s) describing the structure,Keywords describing the structure,?,?
1970,entry_information,Y,T6,1,entry_information,20,Structure keywords,_Struct_keywords.Text,,,,,,Y,H,H,H,H,H,N,,,,,,Text,TEXT,,,StructKeywords,Text,N,N,,,,,,,,,Y,20,5,,,,,0,inhibited complex,?,Keywords describing this structure.,10616,0,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,2,Struct_keywords,Text,?,?,?,?,Y,N,text,,?,?,?,Keywords describing this structure.,,N,?,?,Structure keywords,inhibited complex,?,Keywords describing this structure.,Structure keywords,inhibited complex,?,Keywords describing this structure.,?,?
1980,entry_information,Y,T6,1,entry_information,20,Structure keywords,_Struct_keywords.Sf_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,StructKeywords,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,30,5,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,?,I,O,I,O,I,O,O,O,O,O,O,O,?,0,Struct_keywords,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Structure keywords,?,n/a,Pointer to '_Entry.Sf_ID',Structure keywords,?,n/a,Pointer to '_Entry.Sf_ID',?,?
1990,entry_information,Y,T6,1,entry_information,20,Structure keywords,_Struct_keywords.Entry_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,StructKeywords,EntryID,N,N,,Y,,Entry,ID,,,,Y,40,5,,,,,3,?,n/a,Pointer to '_Entry.ID',10617,1,Y,Y,N,N,N,N,_Entry.ID,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Struct_keywords,Entry_ID,?,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Structure keywords,?,n/a,Pointer to '_Entry.ID',Structure keywords,?,n/a,Pointer to '_Entry.ID',?,?
2000,entry_information,Y,T6,1,entry_information,20,Data set,_Data_set.Type,,X,,,,Y,H,H,H,H,H,Y,Y,,,,,Type,VARCHAR(127),NOT NULL,,DataSet,Type,N,N,,Y,,,,,,,Y,10,,,,,,0,assigned_chemical_shifts,Type,The saveframe category type that contain quantitative data of the kind that is summarized in this table.  The enumerated list for this tag is a subset of the full list of saveframe categories available in constructing an NMR-STAR file.,?,?,Y,Y,N,N,N,Y,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Data_set,Type,Y,?,?,?,Y,N,line,,?,?,?,The saveframe category type that contain quantitative data of the kind that is summarized in this table.  The enumerated list for this tag is a subset of the full list of saveframe categories available in constructing an NMR-STAR file.,,N,?,?,Data set,assigned_chemical_shifts,Type,The saveframe category type that contain quantitative data of the kind that is summarized in this table.  The enumerated list for this tag is a subset of the full list of saveframe categories available in constructing an NMR-STAR file.,Data set,assigned_chemical_shifts,Type,The saveframe category type that contain quantitative data of the kind that is summarized in this table.  The enumerated list for this tag is a subset of the full list of saveframe categories available in constructing an NMR-STAR file.,?,?
2010,entry_information,Y,T6,1,entry_information,20,Data set,_Data_set.Count,,X,,,,Y,H,H,H,H,H,N,,,,,,Count,INTEGER,NOT NULL,,DataSet,Count,N,N,,,,,,,,,Y,20,,,,,,0,2,Type count,The integer number of saveframes in the entry that are of the type given by the value to the tag '_Saveframe_category_type' in this loop.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Data_set,Count,?,?,?,?,Y,N,int,,?,?,?,The integer number of saveframes in the entry that are of the type given by the value to the tag '_Saveframe_category_type' in this loop.,,N,?,?,Data set,2,Type count,The integer number of saveframes in the entry that are of the type given by the value to the tag '_Saveframe_category_type' in this loop.,Data set,2,Type count,The integer number of saveframes in the entry that are of the type given by the value to the tag '_Saveframe_category_type' in this loop.,?,?
2020,entry_information,Y,T6,1,entry_information,20,Data set,_Data_set.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,DataSet,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,30,,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Data_set,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Data set,?,n/a,Pointer to '_Entry.Sf_ID',Data set,?,n/a,Pointer to '_Entry.Sf_ID',?,?
2030,entry_information,Y,T6,1,entry_information,20,Data set,_Data_set.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,DataSet,EntryID,N,N,,Y,,Entry,ID,,,,Y,40,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Data_set,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Data set,?,n/a,Pointer to '_Entry.ID',Data set,?,n/a,Pointer to '_Entry.ID',?,?
2040,entry_information,Y,T6,1,entry_information,20,Datum,_Datum.Type,,X,,,,Y,H,H,H,H,H,Y,Y,,,,,Type,VARCHAR(127),NOT NULL,,Datum,Type,N,N,,Y,,,,,,,Y,10,,,,,,0,1H chemical shifts,Data type,A type of quantitative data found in the entry.,?,?,Y,Y,N,N,N,Y,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Datum,Type,Y,?,?,?,Y,N,line,,?,?,?,A type of quantitative data found in the entry.,,N,?,?,Datum,1H chemical shifts,Data type,A type of quantitative data found in the entry.,Datum,1H chemical shifts,Data type,A type of quantitative data found in the entry.,?,?
2050,entry_information,Y,T6,1,entry_information,20,Datum,_Datum.Count,,X,,,,Y,H,H,H,H,H,N,,,,,,Count,INTEGER,NOT NULL,,Datum,Count,N,N,,,,,,,,,Y,20,,,,,,0,981,Count,An integer representing the total number of values of the type defined by the value to the tag '_Data_type' found in all saveframes in the current entry.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Datum,Count,?,?,?,?,Y,N,int,,?,?,?,An integer representing the total number of values of the type defined by the value to the tag '_Data_type' found in all saveframes in the current entry.,,N,?,?,Datum,981,Count,An integer representing the total number of values of the type defined by the value to the tag '_Data_type' found in all saveframes in the current entry.,Datum,981,Count,An integer representing the total number of values of the type defined by the value to the tag '_Data_type' found in all saveframes in the current entry.,?,?
2060,entry_information,Y,T6,1,entry_information,20,Datum,_Datum.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,Datum,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,30,,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Datum,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Datum,?,n/a,Pointer to '_Entry.Sf_ID',Datum,?,n/a,Pointer to '_Entry.Sf_ID',?,?
2070,entry_information,Y,T6,1,entry_information,20,Datum,_Datum.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Datum,EntryID,N,N,,Y,,Entry,ID,,,,Y,40,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Datum,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Datum,?,n/a,Pointer to '_Entry.ID',Datum,?,n/a,Pointer to '_Entry.ID',?,?
2080,entry_information,Y,T6,1,entry_information,20,Release,_Release.Release_number,,X,,,,Y,H,H,H,H,H,N,,,,,,Release number,INTEGER,NOT NULL,,Release,ReleaseNumber,N,N,,Y,,,,,,,Y,10,,,,,,0,1,Release ID,Unique code assigned to each release of an entry,?,?,Y,Y,N,N,N,Y,_Entity_poly_seq.Num,?,?,V,M,V,M,V,M,V,V,V,V,V,V,?,0,Release,Release_number,Y,?,?,?,Y,N,int,,?,?,?,Unique code assigned to each release of an entry,,N,?,?,Release,1,Release ID,Unique code assigned to each release of an entry,Release,1,Release ID,Unique code assigned to each release of an entry,?,?
2090,entry_information,Y,T6,1,entry_information,20,Release,_Release.Date,,X,,,,Y,H,H,H,H,H,N,,,,,,Date,DATETIME year to day,NOT NULL,,Release,Date,N,N,,,,,,,,,Y,20,,,,,,0,2004-02-29',Release date,Date entry was released.,?,?,Y,Y,N,N,N,N,?,?,?,V,M,V,M,V,M,V,V,V,V,V,V,?,0,Release,Date,?,?,?,?,Y,N,yyyy-mm-dd,,?,?,?,Date entry was released.,,N,?,?,Release,2004-02-29',Release date,Date entry was released.,Release,2004-02-29',Release date,Date entry was released.,?,?
2100,entry_information,Y,T6,1,entry_information,20,Release,_Release.Submission_date,,X,,,,Y,H,H,H,H,H,N,,,,,,Submission date,DATETIME year to day,,,Release,SubmissionDate,N,N,,,,,,,,,Y,30,,,,,,0,2004-02-29',Update submission date,Date the entry or an update to the entry was submitted to BMRB.,?,?,Y,Y,N,N,N,N,?,?,?,V,M,V,M,V,M,V,V,V,V,V,V,?,0,Release,Submission_date,?,?,?,?,Y,N,yyyy-mm-dd,,?,?,?,Date the entry or an update to the entry was submitted to BMRB.,,N,?,?,Release,2004-02-29',Update submission date,Date the entry or an update to the entry was submitted to BMRB.,Release,2004-02-29',Update submission date,Date the entry or an update to the entry was submitted to BMRB.,?,?
2110,entry_information,Y,T6,1,entry_information,20,Release,_Release.Type,,X,,,,Y,H,H,H,H,H,Y,N,,,,,Type,VARCHAR(31),NOT NULL,,Release,Type,N,N,,,,,,,,,Y,40,,,,,,0,original,Release type,Value describing with a key word the type of entry that was released.,?,?,Y,Y,N,N,N,N,?,?,?,V,M,V,M,V,M,V,V,V,V,V,V,?,0,Release,Type,?,?,?,?,Y,N,line,,?,?,?,Value describing with a key word the type of entry that was released.,,N,?,?,Release,original,Release type,Value describing with a key word the type of entry that was released.,Release,original,Release type,Value describing with a key word the type of entry that was released.,?,?
2120,entry_information,Y,T6,1,entry_information,20,Release,_Release.Author,,X,,,,Y,H,H,H,H,H,N,,,,,,Author,VARCHAR(31),NOT NULL,,Release,Author,N,N,,,,,,,,,Y,50,,,,,,0,author,Author of the update,A keyword indicating the type of author of the release.,?,?,Y,Y,N,N,N,N,?,?,?,V,M,V,M,V,M,V,V,V,V,V,V,?,0,Release,Author,?,?,?,?,Y,N,line,,?,?,?,A keyword indicating the type of author of the release.,,N,?,?,Release,author,Author of the update,A keyword indicating the type of author of the release.,Release,author,Author of the update,A keyword indicating the type of author of the release.,?,?
2130,entry_information,Y,T6,1,entry_information,20,Release,_Release.Detail,,X,,,,Y,H,H,H,H,H,N,,,,,,Detail,TEXT,,,Release,Detail,N,N,,,,,,,,,Y,60,,,,,,0,Oringinal entry release,Detail,Text describing the changes made to the entry.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,V,V,V,V,V,V,?,0,Release,Detail,?,?,?,?,Y,N,text,,?,?,?,Text describing the changes made to the entry.,,N,?,?,Release,Oringinal entry release,Detail,Text describing the changes made to the entry.,Release,Oringinal entry release,Detail,Text describing the changes made to the entry.,?,?
2140,entry_information,Y,T6,1,entry_information,20,Release,_Release.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,Release,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,70,,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Release,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Release,?,n/a,Pointer to '_Entry.Sf_ID',Release,?,n/a,Pointer to '_Entry.Sf_ID',?,?
2150,entry_information,Y,T6,1,entry_information,20,Release,_Release.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Release,EntryID,N,N,,Y,,Entry,ID,,,,Y,80,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,V,M,V,M,V,M,V,V,V,V,V,V,?,0,Release,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Release,?,n/a,Pointer to '_Entry.ID',Release,?,n/a,Pointer to '_Entry.ID',?,?
2160,entry_information,Y,T6,1,entry_information,20,Related database entries,_Related_entries.Database_name,,O,,,,Y,N,H,H,H,H,Y,Y,,,,,Database name,VARCHAR(31),NOT NULL,,RelatedEntries,DatabaseName,N,N,,Y,,,,,,,Y,10,2,,,,,0,BMRB; PDB,Related database name,Either select a database from those listed or enter the name of a database with an entry that is related to your deposition.,11034,1,Y,Y,N,N,N,Y,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Related_entries,Database_name,Y,?,?,?,Y,N,line,,?,?,?,List of accession numbers for BMRB entries that are in someway related to the current entry.,,N,?,?,Related database entries,BMRB; PDB,Related database name,Either select a database from those listed or enter the name of a database with an entry that is related to your deposition.,Related database entries,BMRB; PDB,Related database name,Either select a database from those listed or enter the name of a database with an entry that is related to your deposition.,?,?
